Date,Store,Category,Amount,ExcludeWE,Description
2014-02-01,Aldi,Alcohol,-10.62,NO,"Tuna, 3 bottles of water, 20 garbage bags, 6 pack of beers, Packet chips and Nut bars"
2014-02-01,Big W,Daily Expenses,-8.0,NO,Chocolate for Nastya
2014-02-01,Big W,Clothing,-7.5,NO,2 Sheers
2014-02-02,MyKi,Transport,-5.0,NO,Charged after going to the airport
2014-02-02,7 Eleven,Pleasure,-2.5,NO,Krispy doughnuts
2014-02-03,Domino's Pizza,Daily Expenses,-9.9,NO,Monday promotion 2 pizzas
2014-02-04,Domino's Pizza,Daily Expenses,-9.9,NO,Promotion 2 pizzas tuesday
2014-02-06,,Salary,2274.0,,Salary Ana
2014-02-06,Intersection Café,Daily Expenses,-15.0,NO,Thursday pizza
2014-02-07,Others,Alcohol,-8.0,NO,Beer in the beach's Coffee 
2014-02-07,MyKi,Transport,-5.0,NO,MyKi for going to the beach with Ali
2014-02-08,Woolworths,Daily Expenses,-10.0,NO,2 packets and chicken breast
2014-02-08,Coles,Daily Expenses,-5.0,NO,2 Packets chips doritos
2014-02-08,Aldi,Daily Expenses,-4.15,NO,6 bottles of water
2014-02-09,Unilodge,Pleasure,-2.0,NO,Coke from machine
2014-02-09,eBay,Home,-18.99,NO,Bathroom weight
2014-02-10,Domino's Pizza,Daily Expenses,-9.9,NO,Monday pizza 
2014-02-11,Domino's Pizza,Daily Expenses,-4.95,NO,Tuesday's pizza promotion
2014-02-11,Unilodge,Daily Expenses,-2.0,NO,Coke from machine
2014-02-12,Unilodge,Daily Expenses,-2.0,NO,Coke from machine
2014-02-13,Aldi,Alcohol,-10.0,NO,6 pack beer
2014-02-13,Intersection Café,Pleasure,-7.5,NO,Thursday's pizza!
2014-02-14,,Salary,3840.0,,Salary Ana
2014-02-14,Aldi,Daily Expenses,-2.77,NO,4 bottles water
2014-02-14,Coles,Daily Expenses,-11.35,NO,Cheese and soap
2014-02-15,MyKi,Transport,-5.0,NO,5 dollars for meeting Nastya
2014-02-15,Guzman y Gomez,Pleasure,-18.9,NO,Dinner sunday before Nastya arrives
2014-02-15,Woolworths,Daily Expenses,-8.95,NO,Salad for Nastya
2014-02-15,Aldi,Alcohol,-26.1,NO,2 6 pack beers
2014-02-15,Aldi,Utilities,-35.0,YES,Mobile Nastya February
2014-02-15,Victoria Market,Gift,-20.0,NO,Gift for popa
2014-02-16,Aldi,Utilities,-35.0,YES,mobile juan february
2014-02-16,Woolworths,Daily Expenses,-4.5,NO,Chicken breast and Chips packet
2014-02-16,Big W,Home,-10.0,NO,Canddle
2014-02-16,Others,Alcohol,-18.9,NO,6 pack UNO night
2014-02-16,Others,Daily Expenses,-6.55,NO,"McDonals fries and coke, arrival of Nastya"
2014-02-17,Others,Gift,-49.0,YES,Gift arrival nast
2014-02-17,Unilodge,Rent,-1538.0,YES,Rent for February
2014-02-17,Aldi,Daily Expenses,-3.0,NO,Hot dogs
2014-02-17,eBay,Education,-18.3,YES,SanDisk 32GB USB
2014-02-17,Aldi,Daily Expenses,-6.65,NO,"Milk, beacon, corn and oats"
2014-02-18,MyKi,Transport,-10.0,NO,Avanade - first day client
2014-02-18,Coles,Daily Expenses,-11.53,NO,"Bolognese sauce, chips packet, mince meet and cereal"
2014-02-19,Woolworths,Daily Expenses,-10.39,NO,"Chicken breast, cheese (1kg) and packet chips"
2014-02-20,Aldi,Daily Expenses,-10.04,NO,Chips packet and onions
2014-02-20,Aldi,Alcohol,-10.0,NO,6 pack beer
2014-02-21,MyKi,Transport,-132.0,YES,expenses
2014-02-21,Woolworths,Daily Expenses,-5.72,NO,Chicken breast and packet chips
2014-02-21,Aldi,Alcohol,-10.0,NO,6 pack beer
2014-02-21,Aldi,Daily Expenses,-2.74,NO,chips packet
2014-02-21,,Per Diem,552.48,,Avanade - Per diem - Seattle
2014-02-22,Woolworths,Home,-14.69,NO,Mosquito poison
2014-02-22,Victoria Market,Daily Expenses,-18.0,NO,"Fruits, vegetables, meet and fish"
2014-02-22,Aldi,Daily Expenses,-8.0,NO,"Milk, juice and wraps"
2014-02-22,UniMelb,Home,-12.0,NO,Laundry
2014-02-23,Aldi,Home,-5.0,NO,Jars
2014-02-23,BACB,Utilities,-49.95,YES,Internet February-March
2014-02-23,Aldi,Daily Expenses,-5.69,NO,"Water, corn and large ziplock bags"
2014-02-24,Aldi,Daily Expenses,-9.9,NO,"Musli, corn, eggs and wraps"
2014-02-24,American Express,Avanade,-103.47,YES,Seattle (still misses the taxi coming back)
2014-02-25,Victoria Market,Daily Expenses,-2.0,NO,Fruits - Melon
2014-02-25,Aldi,Daily Expenses,-13.41,NO,"Carrots, butter, hot dogs, muesli and juice"
2014-02-25,Coles,Daily Expenses,-4.0,NO,2 packets of chips
2014-02-25,Click Energy,Utilities,-77.5,YES,Electricity January - February
2014-02-26,Aldi,Daily Expenses,-11.53,NO,Cheese and honey
2014-02-26,Woolworths,Daily Expenses,-12.66,NO,"Chicken, hot dogs and strawberry jam"
2014-02-27,Aldi,Daily Expenses,-10.92,NO,"Wraps, corn, cheese and milk"
2014-02-27,Woolworths,Daily Expenses,-3.49,NO,Chicken breast and beaking soda
2014-02-28,Aldi,Daily Expenses,-6.1,NO,"Corn, peanuts and laidy stuff"
2014-02-28,Coles,Daily Expenses,-3.0,NO,Pringles packet chips
2014-02-28,Unilodge,Daily Expenses,-2.0,NO,Coke from machine
2014-03-01,Big W,Home,-17.0,NO,Kitchen utensils and lid 30 cm
2014-03-01,Victoria Market,Daily Expenses,-5.0,NO,Fruits
2014-03-01,,Interest,71.74,,Interest February
2014-03-02,Victoria Market,Daily Expenses,-18.0,NO,"Meet, fish, fruits and vegetables"
2014-03-02,Aldi,Daily Expenses,-3.6,NO,Water and bread
2014-03-02,Church,Daily Expenses,-5.0,NO,Church
2014-03-02,MyKi,Transport,-3.0,NO,Juan's Myki to go to church
2014-03-03,Aldi,Daily Expenses,-18.54,NO,"Juice, paper towel, peanuts, oil and water"
2014-03-04,Aldi,Daily Expenses,-1.88,NO,Pasta and water
2014-03-04,Coles,Daily Expenses,-5.5,NO,Pringles and ketchup
2014-03-05,Aldi,Daily Expenses,-9.09,NO,"Corn, muesli, chips packet and mushrooms"
2014-03-06,Woolworths,Daily Expenses,-6.27,NO,olives and chicken breast
2014-03-06,Aldi,Daily Expenses,-1.49,NO,Water
2014-03-06,Coles,Daily Expenses,-11.0,NO,Juice and cake
2014-03-08,Aldi,Alcohol,-10.0,NO,6 pack beer
2014-03-08,Aldi,Daily Expenses,-0.72,NO,Water
2014-03-08,Victoria Market,Daily Expenses,-22.0,NO,"Meet, vegetables and fruits"
2014-03-09,La Cantina,Pleasure,-16.0,NO,Lunch gatito
2014-03-09,Victoria Market,Daily Expenses,-13.0,NO,"Fish, ham, fruits and vegetables"
2014-03-11,Aldi,Daily Expenses,-16.5,NO,"Water, juice, bread, wraps, carrots and peanuts"
2014-03-12,UniMelb,Education,-11.09,NO,Strength finder
2014-03-12,Woolworths,Daily Expenses,-5.0,NO,2 packets chips
2014-03-12,Aldi,Daily Expenses,-3.7,NO,Peanuts and water
2014-03-13,Woolworths,Daily Expenses,-2.88,NO,Chicken breast
2014-03-13,Aldi,Daily Expenses,-0.69,NO,Water
2014-03-14,Woolworths,Daily Expenses,-11.69,NO,"Tooth paste, 2 packets chips and chicken"
2014-03-15,Gumtree,Home,-75.0,NO,Fridge
2014-03-15,Aldi,Alcohol,-20.0,NO,Six pack beer and wine for fridge
2014-03-15,Aldi,Daily Expenses,-3.0,NO,Sausages
2014-03-15,MyKi,Transport,-10.0,NO,MyKi Juan
2014-03-15,UniMelb,Education,-15537.6,YES,Unimelb 2nd semester
2014-03-15,Aldi,Daily Expenses,-5.4,NO,"Juice, water and sprakling water"
2014-03-16,Church,Daily Expenses,-6.0,NO,Church after paying university
2014-03-16,,Salary,3839.99,,Salary Ana
2014-03-16,MyKi,Transport,-5.0,NO,Myki Juan for church
2014-03-16,Victoria Market,Daily Expenses,-17.0,NO,"Fruits,vegetables and meet"
2014-03-16,Aldi,Daily Expenses,-2.7,NO,Water and milk
2014-03-17,Unilodge,Rent,-1538.0,YES,Rent february - march
2014-03-18,Amaysim,Utilities,-80.0,YES,Mobile Anastasiya and Juan March - April
2014-03-18,Woolworths,Daily Expenses,-3.0,NO,Chicken breast
2014-03-18,Aldi,Daily Expenses,-1.29,NO,Bread
2014-03-19,Coles,Daily Expenses,-8.91,NO,"Chicken, water and 2 packets chips"
2014-03-20,Aldi,Daily Expenses,-9.9,NO,"tuna, corn, juice and mushrooms"
2014-03-20,Others,Pleasure,-21.5,NO,Beers and food with bertier
2014-03-22,Woolworths,Daily Expenses,-3.44,NO,Chicken and 1 packet chips
2014-03-22,Aldi,Daily Expenses,-10.23,NO,"Cheese, water, toilet aroma"
2014-03-22,Others,Pleasure,-10.0,NO,Lunch avanade
2014-03-22,Victoria Market,Daily Expenses,-22.0,NO,"Fruits, vegetables, doughnut and fish"
2014-03-23,American Express,Avanade,-53.0,YES,Taxi home 
2014-03-23,Aldi,Daily Expenses,-5.68,NO,"oats, nuts, corn and water"
2014-03-23,Victoria Market,Daily Expenses,-12.0,NO,"Banana, meet, letuce and apples and CORN baby"
2014-03-23,BACB,Utilities,-50.0,YES,Internet March - April
2014-03-24,Aldi,Daily Expenses,-6.64,NO,"Onions, water and bread"
2014-03-24,MyKi,Transport,-136.4,YES,Myki Nastya March-April
2014-03-24,UniMelb,Daily Expenses,-2.0,NO,Coke
2014-03-24,Coles,Daily Expenses,-12.47,NO,"Cake katya, toulet cleaner and salt"
2014-03-26,Coles,Daily Expenses,-3.93,NO,Grapes and chili sauce
2014-03-26,Aldi,Daily Expenses,-6.7,NO,"Water, juice and corn"
2014-03-26,Woolworths,Daily Expenses,-9.29,NO,"Chicken, water, rice pasta and 2 packets chips nachos"
2014-03-27,Intersection Café,Daily Expenses,-8.0,NO,Thursday Pizza
2014-03-27,Others,Visa,-5280.0,YES,Residence Visa
2014-03-27,Click Energy,Utilities,-75.5,YES,Electricity February - March
2014-03-27,Medibank,Visa,-706.0,YES,Visa medical tests
2014-03-28,,Per Diem,115.14,,Avanade taxi
2014-03-28,Woolworths,Daily Expenses,-3.75,NO,Chicken and packet chips
2014-03-28,Aldi,Daily Expenses,-3.58,NO,"Water, milk and corn"
2014-03-29,Victoria Market,Daily Expenses,-12.0,NO,"Fruits, vegetables, meat"
2014-03-29,Unilodge,Home,-12.0,NO,Laundry
2014-03-30,MyKi,Transport,-5.0,NO,Myki Juan for church
2014-03-30,Aldi,Daily Expenses,-7.0,NO,"Water, juice and peanuts"
2014-03-30,Victoria Market,Daily Expenses,-7.0,NO,Meet fish and ham
2014-03-30,Church,Daily Expenses,-6.0,NO,Church
2014-03-31,Aldi,Daily Expenses,-6.19,NO,"Bread, water, carrots and ccucumbers"
2014-04-01,Woolworths,Daily Expenses,-2.77,NO,Chicken breast
2014-04-01,Coles,Daily Expenses,-4.0,NO,2 Pringles chips packet
2014-04-01,,Interest,68.45,,Interest for March
2014-04-01,Aldi,Daily Expenses,-9.72,NO,"Cheese, water and nuts"
2014-04-02,Aldi,Daily Expenses,-3.3,NO,"2 bottles of water, sparkling water and pasta"
2014-04-02,Coles,Daily Expenses,-5.0,NO,Cereal
2014-04-03,Coles,Daily Expenses,-6.5,NO,Rice and cauliflower
2014-04-03,Woolworths,Daily Expenses,-2.98,NO,Packets chips and chicken
2014-04-04,Woolworths,Home,-1.8,NO,Dishes soap
2014-04-04,Aldi,Daily Expenses,-9.7,NO,"Jam, milk, tuna, eggs and wraps"
2014-04-04,Aldi,Alcohol,-10.0,NO,6 pack beer
2014-04-06,Victoria Market,Daily Expenses,-7.0,NO,Fruits and vegetables
2014-04-06,Aldi,Daily Expenses,-6.4,NO,"Water, sausages and bacon"
2014-04-06,Coles,Daily Expenses,-8.0,NO,Cereal
2014-04-06,Big W,Daily Expenses,-2.0,NO,Worms
2014-04-06,Victoria Market,Daily Expenses,-7.0,NO,Meet
2014-04-06,Aldi,Daily Expenses,-4.02,NO,"Milk, butter, water and sparkling water"
2014-04-06,Coles,Daily Expenses,-2.5,NO,Ketchup
2014-04-06,Officeworks,Avanade,-1.28,NO,Document prints
2014-04-08,Aldi,Daily Expenses,-1.75,NO,Grapes
2014-04-09,Woolworths,Daily Expenses,-8.68,NO,"Chicken breast, pringles and peanuts"
2014-04-09,Officeworks,Visa,-0.8,NO,Medical exams printings
2014-04-10,Aldi,Daily Expenses,-5.63,NO,"Salt, apple juice and sparklyn water"
2014-04-10,Aldi,Daily Expenses,-1.88,NO,water and milk
2014-04-10,Others,Home,-20.0,NO,Repairment of necklace of Nastya
2014-04-12,Victoria Market,Daily Expenses,-16.0,NO,"Meet, doughnuts, fruits, vegetables and fish"
2014-04-12,Aldi,Daily Expenses,-1.42,NO,Water and sparkling water
2014-04-13,Aldi,Daily Expenses,-8.0,NO,"milk, wraps, yogurt and onions"
2014-04-13,Victoria Market,Daily Expenses,-3.0,NO,Chili and avocado 
2014-04-13,Victoria Market,Gift,-8.0,NO,Panda and kangoroo
2014-04-14,,Salary,3839.99,,Salary Ana
2014-04-14,Woolworths,Daily Expenses,-12.0,NO,"Chicken, tea, peanuts and water"
2014-04-15,Others,Health,-200.0,YES,Dentist Nastya
2014-04-15,Woolworths,Daily Expenses,-14.96,NO,"2 packets chips, 2 cereal, chicken and mineral water"
2014-04-16,Guzman y Gomez,Pleasure,-7.0,NO,free burrito day
2014-04-16,Aldi,Daily Expenses,-6.52,NO,nuts
2014-04-16,Woolworths,Daily Expenses,-9.6,NO,"yeast, jam and flour"
2014-04-17,HIP Melbourne Central,Health,-10.55,NO,Mouthguard and clip
2014-04-17,Aldi,Daily Expenses,-9.99,NO,"Water, juice, bread, corn and eggs"
2014-04-17,Big W,Pleasure,-4.0,NO,Worms and stickers
2014-04-18,Unilodge,Rent,-1538.0,YES,Rent March - April
2014-04-19,MyKi,Transport,-10.0,NO,Myki for night church
2014-04-19,Aldi,Daily Expenses,-8.33,NO,"Water, sparklyn water, milk and girls things"
2014-04-20,Aldi,Daily Expenses,-13.94,NO,"Carrots, corn, ham, cheese and  water"
2014-04-20,Amaysim,Utilities,-20.0,YES,Mobile Nastya April - May
2014-04-20,Amaysim,Utilities,-25.57,YES,Mobile April - May
2014-04-21,Aldi,Daily Expenses,-0.8,NO,water
2014-04-21,UNIQLO,Clothing,-25.7,NO,Boxers and t-shirts )))
2014-04-22,Big W,Gift,-5.0,NO,Bunny for caleb
2014-04-22,Woolworths,Daily Expenses,-14.09,NO,"chicken, crackers, water, bread, sea crap packet, packet chip doritos and chips"
2014-04-23,KFC,Pleasure,-8.95,NO,Lunch for gatito (((
2014-04-23,Coles,Home,-7.0,NO,washing powder
2014-04-24,Aldi,Daily Expenses,-10.03,NO,6 pack beer
2014-04-24,MyKi,Transport,-137.0,YES,Myki april - may
2014-04-25,Woolworths,Gift,-7.0,NO,Ice cream
2014-04-25,Aldi,Daily Expenses,-3.42,NO,"Water, sparklyn water and milk"
2014-04-26,Coles,Daily Expenses,-2.0,NO,Doritos packet
2014-04-26,Dan Murphy's,Alcohol,-12.0,NO,wine
2014-04-26,Woolworths,Daily Expenses,-3.0,NO,packet and juice
2014-04-26,Victoria Market,Daily Expenses,-8.5,NO,"vegetables, fruits and doughnuts"
2014-04-26,BACB,Utilities,-49.95,YES,Internet April - May
2014-04-27,Others,Pleasure,-23.7,NO,Dinner invitation for anniversary
2014-04-27,Victoria Market,Gift,-6.0,NO,Roses for anniversary 
2014-04-27,Victoria Market,Daily Expenses,-18.0,NO,Meet and empanadas
2014-04-28,Aldi,Daily Expenses,-7.61,NO,"water, corn and cheese"
2014-04-28,Click Energy,Utilities,-77.78,YES,Energy march - april
2014-04-29,Aldi,Alcohol,-10.0,NO,6 pack beer
2014-04-29,Woolworths,Daily Expenses,-9.48,NO,"Chicken breast, bread and 2 healthy packets"
2014-04-30,Woolworths,Daily Expenses,-17.53,NO,"Chicken, froot loops x2, juice, jam and chips"
2014-04-30,Aldi,Daily Expenses,-0.69,NO,Water
2014-04-30,Coles,Gift,-2.7,NO,Chocolate because of real
2014-05-01,Coles,Daily Expenses,-5.84,NO,Chips and yogurt
2014-05-01,,Interest,46.07,,Interests April
2014-05-01,Intersection Café,Daily Expenses,-11.0,NO,Thrusday Pizza ))))
2014-05-01,Unilodge,Pleasure,-2.0,NO,Coke
2014-05-02,Others,Pleasure,-40.0,NO,Dinner PR
2014-05-03,Big W,Home,-5.0,NO,lamp bulb
2014-05-03,Woolworths,Daily Expenses,-5.51,NO,Chocolate and chips
2014-05-04,Church,Daily Expenses,-7.0,NO,Church after residence
2014-05-04,Victoria Market,Daily Expenses,-10.0,NO,Fruits and vegetables
2014-05-04,Aldi,Daily Expenses,-2.0,NO,Beans and corn
2014-05-05,Officeworks,Education,-4.8,NO,Printings for presentation
2014-05-05,Aldi,Daily Expenses,-9.58,NO,"water, bread and cheese"
2014-05-06,Woolworths,Home,-9.0,NO,Toilet paper
2014-05-06,Woolworths,Daily Expenses,-12.23,NO,"Doritos, pringles, peanuts and chicken breast"
2014-05-06,Coles,Daily Expenses,-3.0,NO,Juice
2014-05-08,Aldi,Alcohol,-10.0,NO,6 pack beer
2014-05-08,Aldi,Daily Expenses,-5.04,NO,milk and hotdogs
2014-05-08,Aldi,Home,-0.69,NO,Cotton tips
2014-05-08,Target,Gift,-9.0,NO,Ali's birthday present
2014-05-09,Aldi,Daily Expenses,-0.69,NO,Water
2014-05-10,Aldi,Daily Expenses,-1.13,NO,Tuna
2014-05-10,Aldi,Alcohol,-10.0,NO,6 pack beer
2014-05-11,Victoria Market,Daily Expenses,-9.0,NO,Fruits and vegetables
2014-05-11,Woolworths,Daily Expenses,-4.6,NO,Chicken breast and other things
2014-05-12,Aldi,Daily Expenses,-9.6,NO,Nastya cooked tomato chicken parmesan
2014-05-13,Aldi,Daily Expenses,-4.69,NO,Daily expenses
2014-05-13,Officeworks,Health,-0.96,NO,prints medicare registration
2014-05-13,Officeworks,Health,-0.16,NO,prints for Nastya's medicare form
2014-05-13,Aldi,Daily Expenses,-2.12,NO,Mineral sparkling water and butter
2014-05-14,Aldi,Daily Expenses,-16.23,NO,"Tuna, corn, mushrooms, nuts and eggs"
2014-05-14,,Salary,3839.99,,Salary Ana
2014-05-14,Coles,Daily Expenses,-4.0,NO,Yogourt
2014-05-15,Aldi,Daily Expenses,-2.0,NO,milk
2014-05-15,Woolworths,Daily Expenses,-3.47,NO,Chicken breast
2014-05-15,eBay,Home,-3.77,NO,Mac/iphone/ipad charger plug
2014-05-16,Aldi,Daily Expenses,-6.4,NO,"Cheese, bread and water"
2014-05-16,Unilodge,Rent,-1538.0,YES,Rent april/may
2014-05-18,Aldi,Gift,-25.0,NO,Beers for BBQ of nastya
2014-05-18,,Gift Cards,20.0,,20 from her surprise
2014-05-18,Dan Murphy's,Alcohol,-16.25,NO,Cinzano and chips
2014-05-18,Big W,Home,-24.0,NO,Vase and candles 
2014-05-18,Aldi,Daily Expenses,-11.43,NO,"Water x 4, sparkling water, cheese, carrots and banana"
2014-05-18,Victoria Market,Daily Expenses,-1.2,NO,Apples
2014-05-18,Victoria Market,Gift,-20.0,NO,Flowers for angel
2014-05-19,Aldi,Daily Expenses,-5.8,NO,juice and tissues
2014-05-21,Amaysim,Utilities,-39.9,YES,Mobile Juan May - June
2014-05-21,Others,Pleasure,-4.5,NO,Nastya went for party
2014-05-21,Amaysim,Utilities,-39.9,YES,Mobile Nastya May - Jun
2014-05-22,eBay,Home,-2.98,NO,Hdmi Mac Cable
2014-05-22,Woolworths,Daily Expenses,-18.88,NO,"Cheese, cereal, fruit loops and chicken"
2014-05-24,Footscray Market,Daily Expenses,-11.7,NO,"Coreander, camsicum, avocado, banana, apples and chicken ribs"
2014-05-24,MyKi,Transport,-5.0,NO,Juan Myki for checking houses
2014-05-24,MyKi,Transport,-132.0,YES,Myki Nastya May - Jun
2014-05-24,Coles,Daily Expenses,-4.5,NO,Yogourt
2014-05-24,Aldi,Daily Expenses,-11.45,NO,"Water, sparkling wate, milk and coffee "
2014-05-24,Dan Murphy's,Alcohol,-29.99,NO,Red label
2014-05-25,Woolworths,Daily Expenses,-1.35,NO,Chicken drums x 3
2014-05-25,Church,Daily Expenses,-6.0,NO,Church
2014-05-25,Victoria Market,Daily Expenses,-9.0,NO,"Meet, ham, lettuce and avocados"
2014-05-25,Aldi,Daily Expenses,-3.0,NO,eggs
2014-05-25,Aldi,Alcohol,-10.0,NO,6 pack beer
2014-05-26,Aldi,Daily Expenses,-10.61,NO,"Juice, tuna, nuts and cheese"
2014-05-27,Others,Pleasure,-5.5,NO,Super fries from Grilld PTY
2014-05-27,Woolworths,Daily Expenses,-6.22,NO,Super chicken breast
2014-05-27,BACB,Utilities,-49.95,YES,Internet May - June
2014-05-27,,Others,405.0,,Refund OSHC
2014-05-28,Aldi,Daily Expenses,-11.52,NO,"Packets, cheese, water and wraps"
2014-05-29,Woolworths,Daily Expenses,-1.7,NO,Water and sparkling water
2014-05-30,,Salary,258.01,,Salary Ana
2014-05-30,Woolworths,Daily Expenses,-1.84,NO,Chips
2014-05-30,Aldi,Daily Expenses,-7.0,NO,BBQ
2014-05-30,Click Energy,Utilities,-49.14,YES,Energy April - May
2014-05-30,Aldi,Alcohol,-10.0,NO,6 pack for bbq
2014-05-30,Aldi,Daily Expenses,-5.0,NO,Milk and peanuts
2014-05-31,MyKi,Transport,-6.0,NO,Myki juan houses inspection
2014-05-31,Woolworths,Daily Expenses,-9.0,NO,"Fish, pasta, bathroom powder and chicken"
2014-05-31,Victoria Market,Daily Expenses,-6.0,NO,fruits 
2014-06-01,Others,Gift,-19.09,YES,Birthday gift padre 
2014-06-01,MyKi,Transport,-10.0,NO,Myki Juan Monday's inspection
2014-06-01,Victoria Market,Daily Expenses,-10.0,NO,"Meet, ham, avocado, chili, coreander and geeks"
2014-06-01,Coles,Daily Expenses,-2.92,NO,Yogurt and thing for the toilet
2014-06-01,Big W,Home,-5.5,NO,Thread measure tape
2014-06-01,,Interest,49.69,,Interest May
2014-06-02,Coles,Daily Expenses,-10.94,NO,"Cottage cheese, water, spicy souce and bread"
2014-06-03,eBay,Home,-4.79,NO,Thunderbolt to hdmi
2014-06-03,Officeworks,Education,-2.8,NO,Copies of exams
2014-06-03,Woolworths,Daily Expenses,-10.3,NO,Chicken breast and peanuts
2014-06-03,Others,Pleasure,-5.5,NO,Fryes 
2014-06-04,Others,Gift,-51.23,YES,Mercado libre bottle gift for my father
2014-06-04,Dan Murphy's,Alcohol,-12.99,NO,Martini
2014-06-04,Aldi,Daily Expenses,-2.89,NO,Water and ladies staff huggg
2014-06-04,Love Real Estate,Rent,-1477.0,YES,Rent July - August
2014-06-05,Coles,Daily Expenses,-6.6,NO,Soap and tooth paste
2014-06-05,Aldi,Daily Expenses,-11.19,NO,"Tuna, cheese and cereal"
2014-06-06,Woolworths,Daily Expenses,-5.13,NO,Chicken and chips
